"taxi","date.date.","passenger_count","trip_distance","fare_amount","surcharge","mta_tax","tip_amount","tolls_amount","total_amount","rides","file_name"
"FHV","2015-03-04",0,0,0,0,0,0,0,0,107331,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-05",0,0,0,0,0,0,0,0,103708,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-06",0,0,0,0,0,0,0,0,118186,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-07",0,0,0,0,0,0,0,0,115237,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-08",0,0,0,0,0,0,0,0,91839,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-09",0,0,0,0,0,0,0,0,87259,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-10",0,0,0,0,0,0,0,0,106096,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-11",0,0,0,0,0,0,0,0,99628,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-12",0,0,0,0,0,0,0,0,110050,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-13",0,0,0,0,0,0,0,0,115527,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-14",0,0,0,0,0,0,0,0,125986,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-15",0,0,0,0,0,0,0,0,93785,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-16",0,0,0,0,0,0,0,0,87680,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-17",0,0,0,0,0,0,0,0,95352,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-18",0,0,0,0,0,0,0,0,105119,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-19",0,0,0,0,0,0,0,0,111690,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-20",0,0,0,0,0,0,0,0,130382,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-21",0,0,0,0,0,0,0,0,113356,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-22",0,0,0,0,0,0,0,0,99858,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-23",0,0,0,0,0,0,0,0,93854,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-24",0,0,0,0,0,0,0,0,96609,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-25",0,0,0,0,0,0,0,0,107442,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-26",0,0,0,0,0,0,0,0,113132,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-27",0,0,0,0,0,0,0,0,121243,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-28",0,0,0,0,0,0,0,0,125388,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-29",0,0,0,0,0,0,0,0,105458,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-30",0,0,0,0,0,0,0,0,94876,"fhv_tripdata_2015-03.csv"
"FHV","2015-03-31",0,0,0,0,0,0,0,0,109375,"fhv_tripdata_2015-03.csv"
"FHV","2015-04-01",0,0,0,0,0,0,0,0,126925,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-02",0,0,0,0,0,0,0,0,131778,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-03",0,0,0,0,0,0,0,0,128635,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-04",0,0,0,0,0,0,0,0,115245,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-05",0,0,0,0,0,0,0,0,103802,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-06",0,0,0,0,0,0,0,0,104007,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-07",0,0,0,0,0,0,0,0,122520,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-08",0,0,0,0,0,0,0,0,127735,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-09",0,0,0,0,0,0,0,0,134453,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-10",0,0,0,0,0,0,0,0,137984,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-11",0,0,0,0,0,0,0,0,130291,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-12",0,0,0,0,0,0,0,0,112993,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-13",0,0,0,0,0,0,0,0,112226,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-14",0,0,0,0,0,0,0,0,120204,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-15",0,0,0,0,0,0,0,0,125351,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-16",0,0,0,0,0,0,0,0,138661,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-17",0,0,0,0,0,0,0,0,142870,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-18",0,0,0,0,0,0,0,0,143311,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-19",0,0,0,0,0,0,0,0,123896,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-20",0,0,0,0,0,0,0,0,139164,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-21",0,0,0,0,0,0,0,0,126516,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-22",0,0,0,0,0,0,0,0,141548,"fhv_tripdata_2015-04.csv"
